report,justification_de_url,justification_en_url,TA
"Acalabrutinib (chronisch lymphatische Leukämie; Monotherapie, Erstlinie)",https://www.g-ba.de/downloads/40-268-7625/2021-06-22_AM-RL-XII_Acalabrutinib_D-592_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7577/2021-06-03_AM-RL-XII_Acalabrutinib_D-592_TrG_EN.pdf,onkologische Erkrankungen
Aclidiniumbromid,https://www.g-ba.de/downloads/40-268-3335/2015-07-16_AM-RL-XII_Aclidiniumbromid_erneute-NB_TrG.pdf,,Krankheiten des Atmungssystems
Aclidiniumbromid (Erneute Nutzenbewertung § 14: COPD),https://www.g-ba.de/downloads/40-268-3703/2016-04-07_AM-RL-XII_Aclidiniumbromid_2015-10-15-D-190_TrG.pdf,,Krankheiten des Atmungssystems
Aclidiniumbromid/Formoterol (COPD),https://www.g-ba.de/downloads/40-268-3276/2015-07-16_AM-RL-XII_Aclidiniumbromid-Formoterol_2015-02-01-D-155_TrG.pdf,,Krankheiten des Atmungssystems
Afamelanotid (Erythropoetische Protoporphyrie),https://www.g-ba.de/downloads/40-268-3923/2016-08-04_AM-RL-XII_Afamelanotid_D-218_TrG.pdf,,Stoffwechselkrankheiten
Afamelanotid (Neubewertung nach Fristablauf: Erythropoetische Protoporphyrie),https://www.g-ba.de/downloads/40-268-7652/2021-07-01_AM-RL-XII_Afamelanotid_D-641_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7652/2021-07-01_AM-RL-XII_Afamelanotid_D-641_TrG_EN.pdf,Stoffwechselkrankheiten
Afatinib,https://www.g-ba.de/downloads/40-268-2792/2014-05-08_AM-RL-XII_Afatinib_2013-11-15-D-082_TrG.pdf,,onkologische Erkrankungen
"Afatinib (Neubewertung nach Fristablauf: nicht-kleinzelliges Lungenkarzinom, EGFR-Mutation, EGFR-TKI-naive Patienten)",https://www.g-ba.de/downloads/40-268-3424/2015-11-05_AM-TL-XII_Afatinib_2015-05-15-D-163_TrG.pdf,,onkologische Erkrankungen
"Afatinib (neues Anwendungsgebiet: nicht-kleinzelliges Lungenkarzinom, Plattenepithelhistologie)",https://www.g-ba.de/downloads/40-268-4019/2016-10-20_AM-RL-XII_Afatinib_D-226_TrG.pdf,,onkologische Erkrankungen
Aflibercept (Neovaskuläre altersabhängige Makuladegeneration),https://www.g-ba.de/downloads/40-268-2356/2013-06-06_AM-RL-XII_Aflibercept_TrG.pdf,,Augenerkrankungen
Aflibercept (neues Anwendungsgebiet: Kolorektalkarzinom),https://www.g-ba.de/downloads/40-268-2461/2013-08-15_AM-RL-XII_Aflibercept_TrG.pdf,,onkologische Erkrankungen
Aflibercept (neues Anwendungsgebiet: Makulaödem durch retinalen Zentralvenenverschlusses),https://www.g-ba.de/downloads/40-268-2725/2014-03-20_AM-RL-XII_Aflibercept-nAWG_2013-10-01-D-080_TrG.pdf,,Augenerkrankungen
Aflibercept (neues Anwendungsgebiet: Makulaödem infolge eines retinalen Venenastverschlusses),https://www.g-ba.de/downloads/40-268-3340/2015-09-03_AM-RL-XII_Aflibercept_nAWG_2015-03-15-D-160_TrG.pdf,,Augenerkrankungen
Aflibercept (neues Anwendungsgebiet: diabetisches Makulaödem),https://www.g-ba.de/downloads/40-268-3145/2015-03-05_Aflibercept_nAWG_2014-09-15-D-137_TrG.pdf,,Augenerkrankungen
Aflibercept (neues Anwendungsgebiet: myope choroidale Neovaskularisation),https://www.g-ba.de/downloads/40-268-3763/2016-05-19_AM-RL-XII_Aflibercept-nAWG_D-197_TrG.pdf,,Augenerkrankungen
Albiglutid (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-3274/2015-07-16_AM-RL-XII_Albiglutid_2014-10-01-D-132_Aenderung-Patientengruppen_TrG.pdf,,Stoffwechselkrankheiten
Albutrepenonacog alfa (Hämophilie B),https://www.g-ba.de/downloads/40-268-4075/2016-12-01_AM-RL-XII_Albutrepenonacog_D-227_TrG.pdf,,Krankheiten des Blutes und der blutbildenden Organe
"Albutrepenonacog alfa (Überschreitung 50 Mio € Grenze: Hämophilie B, kongenitaler Faktor-IX-Mangel)",https://www.g-ba.de/downloads/40-268-8418/2022-04-07_AM-RL-XII_Albutrepenonacog_alfa_D-734_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8418/2022-04-07_AM-RL-XII_Albutrepenonacog_alfa_D-734_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
"Alectinib (neues Anwendungsgebiet: nicht-kleinzelliges Lungenkarzinom, ALK+, Erstlinie)",https://www.g-ba.de/downloads/40-268-5066/2018-06-21_AM-RL-XII_Alectinib_D-326_TrG.pdf,,onkologische Erkrankungen
"Alectinib (nicht-kleinzelliges Lungenkarzinom, ALK+, nach Crizotinib-Vortherapie)",https://www.g-ba.de/downloads/40-268-4600/2017-10-19_AM-RL-XII_Alectinib_D-281_TrG.pdf,,onkologische Erkrankungen
Alipogentiparvovec (Familiäre Lipoproteinlipasedefizienz),https://www.g-ba.de/downloads/40-268-4392/2017-05-18_AM-RL-XII_Alipogentiparvovec_Fristverlaengerung_D-138_TrG.pdf,,Stoffwechselkrankheiten
Alirocumab (Erneute Nutzenbewertung § 14: Hypercholesterinämie oder gemischte Dyslipidämie),https://www.g-ba.de/downloads/40-268-5721/2019-05-02_AM-RL-XII_Alirocumab_D-409_TrG.pdf,,Stoffwechselkrankheiten
Alirocumab (Hypercholesterinämie oder gemischte Dyslipidämie),https://www.g-ba.de/downloads/40-268-5352/2018-10-04_AM-RL-XII_Alirocumab-erneute-NB_TrG.pdf,,Stoffwechselkrankheiten
"Aliskiren/Amlodipin (Essentielle Hypertonie, Zusatztherapie)",https://www.g-ba.de/downloads/40-268-1931/2012-05-03_AM-RL-XII_Aliskiren-Amlodipin_TrG.pdf,,Herz-Kreislauf-Erkrankungen
"Allogene, genetisch modifizierte T-Zellen (Hämatologische Malignitäten, Begleittherapie bei haploidentischer hämatopoetischer Stammzelltransplantation)",https://www.g-ba.de/downloads/40-268-5102/2018-07-05_AM-RL-XII_allogene_genetisch_modifizierte_T-Zellen_D-333_TrG.pdf,,onkologische Erkrankungen
"Alpelisib (Mammakarzinom mit PIK3CA-Mutation, vorbehandelte Patienten, Kombination mit Fulvestrant)",https://www.g-ba.de/downloads/40-268-7315/2021-02-18_AM-RL-XII_Alpelisib_D-574_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7315/2021-02-18_AM-RL-XII_Alpelisib_D-574_TrG_EN.pdf,onkologische Erkrankungen
Amikacin (liposomal) (Mykobakterium-avium-Komplex (MAC) Lungeninfektionen),https://www.g-ba.de/downloads/40-268-7548/2021-05-20_AM-RL-XII_Amikacin_D-600_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7548/2021-05-20_AM-RL-XII_Amikacin_D-600_TrG_EN.pdf,Infektionskrankheiten
"Amivantamab (Lungenkarzinom, nicht-kleinzelliges, EGFR-Exon-20-Insertionsmutation, nach platinbasierter Therapie)",,,onkologische Erkrankungen
Andexanet alfa (Aufhebung der medikamentösen Antikoagulation),https://www.g-ba.de/downloads/40-268-6367/2020-02-20_AM-RL-XII_Andexanet-alfa_D-487_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6367/2020-02-20_AM-RL-XII_Andexanet-alfa_D-487_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
Angiotensin-II-Acetat (Hypotonie),https://www.g-ba.de/downloads/40-268-8160/2022-01-06_AM-RL-XII_Angiotensin-II_D-711_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8160/2022-01-06_AM-RL-XII_Angiotensin-II_D-711_TrG_EN.pdf,Herz-Kreislauf-Erkrankungen
Anifrolumab (Systemischer Lupus erythematodes),,,Krankheiten des Muskel-Skelett-Systems
"Apalutamid (Neubewertung nach Fristablauf: Prostatakarzinom, nicht metastasiert, hohes Metastasenrisiko)",https://www.g-ba.de/downloads/40-268-6910/2020-10-01_AM-RL-XII_Apalutamid_D-538_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6910/2020-10-01_AM-RL-XII_Apalutamid_D-538_TrG_EN.pdf,onkologische Erkrankungen
"Apalutamid (Neues Anwendungsgebiet: Prostatakarzinom, hormonsensitiv, Kombination mit Androgenentzugstherapie)",https://www.g-ba.de/downloads/40-268-6793/2020-08-20_AM-RL-XII_Apalutamid_D-532_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6793/2020-08-20_AM-RL-XII_Apalutamide_D-532_TrG_EN.pdf,onkologische Erkrankungen
"Apalutamid (Prostatakarzinom, nicht metastasiert, hohes Metastasenrisiko)",https://www.g-ba.de/downloads/40-268-6357/2020-02-20_AM-RL-XII_Apalutamid_D-437_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6357/2020-02-20_AM-RL-XII_Apalutamid_D-437_TrG_EN.pdf,onkologische Erkrankungen
Apixaban (Prophylaxe venöser Thromboembolien),https://www.g-ba.de/downloads/40-268-2038/2012-09-06_AM-RL-XII_Apixaban_TrG.pdf,,Herz-Kreislauf-Erkrankungen
Apixaban (neues Anwendungsgebiet: Behandlung und Prophylaxe von Venenthrombosen und Lungenembolien),https://www.g-ba.de/downloads/40-268-3116/2015-02-19_AM-RL-XII_Apixaban_2014-09-01-D-126_TrG.pdf,,Herz-Kreislauf-Erkrankungen
Apixaban (neues Anwendungsgebiet: Prophylaxe von Schlaganfällen und systemischen Embolien),https://www.g-ba.de/downloads/40-268-2387/2013-06-20_AM-RL-XII_Apixaban-neues-AWG_TrG.pdf,,Herz-Kreislauf-Erkrankungen
Apremilast (Neues Anwendungsgebiet: Morbus Behçet),https://www.g-ba.de/downloads/40-268-7016/2020-11-05_AM-RL-XII_Apremilast_D-540_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7016/2020-11-05_AM-RL-XII_Apremilast_D-540_TrG_EN.pdf,Sonstiges
"Apremilast (Plaque-Psoriasis, Psoriasis-Arthritis)",,,Krankheiten des Muskel-Skelett-Systems
Asfotase alfa (Hypophosphatasie),https://www.g-ba.de/downloads/40-268-6143/2019-11-22_AM-RL-XII_Asfotase-alfa_D-188_TrG.pdf,https://www.g-ba.de/downloads/40-1465-3662/2016-03-17_AM-RL-XII_Asfotase-alfa_D-188_TrG_EN.pdf,Stoffwechselkrankheiten
Asfotase alfa (Überschreitung 50 Mio. € Grenze: Hypophosphatasie),https://www.g-ba.de/downloads/40-268-6470/2020-04-02_AM-RL-XII_Asfotase-alfa_D-494_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6470/2020-04-02_AM-RL-XII_Asfotase-alfa_D-494_TrG_EN.pdf,Stoffwechselkrankheiten
Ataluren,https://www.g-ba.de/downloads/40-268-3226/2015-05-21_AM-RL-XII_Ataluren_2012-01-D-149_TrG.pdf,,Krankheiten des Muskel-Skelett-Systems
"Ataluren (Neubewertung nach Fristablauf: Duchenne-Muskeldystrophie, ≥ 5 Jahre)",https://www.g-ba.de/downloads/40-268-4072/2016-12-01_AM-RL-XII_Ataluren_D-239_TrG.pdf,,Krankheiten des Muskel-Skelett-Systems
"Atezolizumab (Erneute Nutzenbewertung § 13: Urothelkarzinom, PD-L1-Expression  ≥ 5%, Erstlinie)",https://www.g-ba.de/downloads/40-268-7447/2021-04-15_AM-RL-XII_Atezolizumab_D-419_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5787/2019-06-20_AM-RL-XII_Atezolizumab_D-419_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (Neues Anwendungsgebiet: Nicht-kleinzelliges Lungenkarzinom, PD-L1 Expression ≥ 50 % auf TC oder ≥ 10 % auf IC, EGFR/ALK-negativ, Erstlinie)",https://www.g-ba.de/downloads/40-268-8040/2021-11-19_AM-RL-XII_Atezolizumab_D-671_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8040/2021-11-19_AM-RL-XII_Atezolizumab_D-671_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (Neues Anwendungsgebiet: hepatozelluläres Karzinom, Kombination mit Bevacizumab)",https://www.g-ba.de/downloads/40-268-7546/2021-05-20_AM-RL-XII_Atezolizumab_D-603_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7546/2021-05-20_AM-RL-XII_Atezolizumab_D-603_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (Urothelkarzinom, Erstlinie)",https://www.g-ba.de/downloads/40-268-5170/2018-08-02_AM-RL-XII_Atezolizumab_D-314_TrG.pdf,,onkologische Erkrankungen
"Atezolizumab (neues Anwendungsgebiet: Mammakarzinom, triple-negativ, PD-L1-Expression ≥1%)",https://www.g-ba.de/downloads/40-268-6471/2020-04-02_AM-RL-XII_Atezolizumab_D-470_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6471/2020-04-02_AM-RL-XII_Atezolizumab_D-470_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (neues Anwendungsgebiet: NSCLC, nicht-plattenepithelial, 1. Linie, Kombination mit Bevacizumab, Paclitaxel und Carboplatin; Erhaltungstherapie)",https://www.g-ba.de/downloads/40-268-6627/2020-06-04_AM-RL-XII_Atezolizumab_D-473_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6627/2020-06-04_AM-RL-XII_Atezolizumab_D-473_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (neues Anwendungsgebiet: NSCLC, nicht-plattenepithelial, 1. Linie, Kombination mit nab-Paclitaxel und Carboplatin; Erhaltungstherapie)",https://www.g-ba.de/downloads/40-268-6628/2020-06-04_AM-RL-XII_Atezolizumab_D-486_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6628/2020-06-04_AM-RL-XII_Atezolizumab_D-486_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (neues Anwendungsgebiet: kleinzelliges Lungenkarzinom, Erstlinie, Kombination mit Carboplatin und Etoposid; Erhaltungstherapie)",https://www.g-ba.de/downloads/40-268-6475/2020-04-02_AM-RL-XII_Atezolizumab_nAWG_D-491_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6475/2020-04-02_AM-RL-XII_Atezolizumab_nAWG_D-491_TrG_EN.pdf,onkologische Erkrankungen
"Atezolizumab (nicht-kleinzelliges Lungenkarzinom, nach vorheriger Chemotherapie)",https://www.g-ba.de/downloads/40-268-4876/2018-03-16_AM-RL-XII_Atezolizumab_D-313_TrG.pdf,,onkologische Erkrankungen
Atidarsagen autotemcel OTL-200 (Metachromatische Leukodystrophie mit biallelischer Mutation im ARSA-Gen),https://www.g-ba.de/downloads/40-268-7994/2021-11-04_AM-RL-XII_Atidarsagen-autotemcel_D-678_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7994/2021-11-04_AM-RL-XII_Atidarsagen-autotemcel_D-678_TrG_EN.pdf,Stoffwechselkrankheiten
"Autologe Anti-CD19-transduzierte CD3-positive Zellen (Mantelzell-Lymphom, vorbehandelte Patienten)",https://www.g-ba.de/downloads/40-268-7740/2021-08-05_AM-RL-XII_Autologe-Anti-CD19-transduzierte-CD3-positive-Zellen_D-633_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7740/2021-08-05_AM-RL-XII_Autologe-Anti-CD19-transduzierte-CD3-positive-Zellen_D-633_TrG_EN.pdf,onkologische Erkrankungen
"Avacopan (Granulomatose mit Polyangiitis oder mikroskopische Polyangiitis, Kombination mit Rituximab oder Cyclophosphamid)",,,Krankheiten des Muskel-Skelett-Systems
Avapritinib (Gastrointestinale Stromatumoren),https://www.g-ba.de/downloads/40-268-7446/2021-04-15_AM-RL-XII_Avapritinib_D-583_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7446/2021-04-15_AM-RL-XII_Avapritinib_D-583_TrG_EN.pdf,onkologische Erkrankungen
"Avapritinib (Neues Anwendungsgebiet: Systemische Mastozytose, nach mind. 1 Vortherapie)",,,onkologische Erkrankungen
Avatrombopag (Immunthrombozytopenie),https://www.g-ba.de/downloads/40-268-7851/2021-09-16_AM-RL-XII_Avatrombopag_D-649_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7851/2021-09-16_AM-RL-XII_Avatrombopag_D-649_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
Avatrombopag (Thrombozytopenie bei chronischer Lebererkrankung),https://www.g-ba.de/downloads/40-268-7849/2021-09-16_AM-RL-XII_Avatrombopag_D-648_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7849/2021-09-16_AM-RL-XII_Avatrombopag_D-648_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
Avelumab (Bewertung nach Aufhebung des Orphan Drug-Status: Metastasiertes Merkelzellkarzinom),https://www.g-ba.de/downloads/40-268-6905/2020-10-01_AM-RL-XII_Avelumab_D-534_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6905/2020-10-01_AM-RL-XII_Avelumab_D-534_TrG_EN.pdf,onkologische Erkrankungen
Avelumab (Merkelzellkarzinom),https://www.g-ba.de/downloads/40-268-4873/2018-03-16_AM-RL-XII_Avelumab_D-308_TrG.pdf,,onkologische Erkrankungen
"Avelumab (Neues Anwendungsgebiet: Urothelkarzinom, Erstlinie)",https://www.g-ba.de/downloads/40-268-7779/2021-08-19_AM-RL-XII_Avelumab_D-646_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7779/2021-08-19_AM-RL-XII_Avelumab_D-646_TrG_EN.pdf,onkologische Erkrankungen
"Avelumab (neues Anwendungsgebiet: Nierenzellkarzinom, Erstlinie, Kombination mit Axitinib)",https://www.g-ba.de/downloads/40-268-6564/2020-05-14_AM-RL_XII_Avelumab_D-504_TrG_aktualisiert.pdf,,onkologische Erkrankungen
Axicabtagen-Ciloleucel (Diffus großzelliges B-Zell-Lymphom),https://www.g-ba.de/downloads/40-268-7554/2021-05-20_AM-RL_CAR-T-Zellen-QS-Ma%C3%9Fnahmen-Aenderungen_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5741/2019-05-02_AM-RL-XII_Axicabtagen-Ciloleucel_D-406_D-416_TrG_EN.pdf,onkologische Erkrankungen
"Axicabtagen-Ciloleucel (Neubewertung nach Fristablauf: diffus großzelliges B-Zell-Lymphom und primäres mediastinales großzelliges B-Zell-Lymphom, nach mind. 2 Vortherapien)",,,onkologische Erkrankungen
Axicabtagen-Ciloleucel (Primäres mediastinales großzelliges B-Zell-Lymphom),https://www.g-ba.de/downloads/40-268-7554/2021-05-20_AM-RL_CAR-T-Zellen-QS-Ma%C3%9Fnahmen-Aenderungen_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5742/2019-05-02_AM-RL-XII_Axicabtagen-Ciloleucel_D-406_D-416_TrG_EN.pdf,onkologische Erkrankungen
Axitinib,https://www.g-ba.de/downloads/40-268-2240/2013-03-21_AM-RL-XII_Axitinib_TrG.pdf,,onkologische Erkrankungen
"Axitinib (Neubewertung nach Fristablauf: Nierenzellkarzinom, nach Versagen von Sunitinib oder einem Zytokin)",https://www.g-ba.de/downloads/40-268-4559/2017-09-21_AM-RL-XII_Axitinib_D-278_TrG.pdf,,onkologische Erkrankungen
Azilsartan Medoxomil (Arterielle Hypertonie),https://www.g-ba.de/downloads/40-268-1917/2012-03-15_AM-RL-XII_Azilsartan%20medoxomil_TrG.pdf,,Herz-Kreislauf-Erkrankungen
"Baloxavir marboxil (Influenza,  ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-7743/2021-08-05_AM-RL-XII_Baloxavir-marboxil_D-626_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7743/2021-08-05_AM-RL-XII_Baloxavir-marboxil_D-626_TrG_EN.pdf,Infektionskrankheiten
"Baloxavir marboxil (Influenza, Postexpositions-Prophylaxe,  ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-7744/2021-08-05_AM-RL-XII_Baloxavir-marboxil_D-627_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7744/2021-08-05_AM-RL_XII_Baloxavir-marboxil_D-627_TrG_EN.pdf,Infektionskrankheiten
Baricitinib (Rheumatoide Arthritis),,,Krankheiten des Muskel-Skelett-Systems
Baricitinib (neues Anwendungsgebiet: atopische Dermatitis),https://www.g-ba.de/downloads/40-268-7504/2021-05-06_AM-RL-XII_Baricitinib_D-599_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7504/2021-05-06_AM-RL-XII_Baricitinib_D-599_TrG_EN.pdf,Hauterkrankungen
Beclometason/Formoterol/Glycopyrronium (Erstmalige Dossierpflicht: Asthma),https://www.g-ba.de/downloads/40-268-7927/2021-10-12_AM-RL-XII_Beclometason-Formoterol-Glycopyrronium_%C3%84nderung-Therapiekosten_D-644_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7742/2021-08-05_AM-RL-XII_Beclometason-Formoterol-Glycopyrronium_D-644_TrG_EN.pdf,Krankheiten des Atmungssystems
Bedaquilin (Multiresistente pulmonale Tuberkulose),https://www.g-ba.de/downloads/40-268-2920/2014-08-21_35a_Einstellung-Verfahren-Bedaquilin_D-112_TrG.pdf,,Infektionskrankheiten
"Bedaquilin (Neues Anwendungsgebiet: Multiresistente pulmonale Tuberkulose, 12 bis < 18 Jahre)",https://www.g-ba.de/downloads/40-268-6786/2020-08-20_AM-RL-XII_Bedaquilin_D-520_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6786/2020-08-20_AM-RL-XII_Bedaquiline_D-520_TrG_EN.pdf,Infektionskrankheiten
"Bedaquilin (Neues Anwendungsgebiet: Multiresistente pulmonale Tuberkulose, 5 bis 11 Jahre)",https://www.g-ba.de/downloads/40-268-7848/2021-09-16_AM-RL-XII_Bedaquilin_D-672_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7848/2021-09-16_AM-RL-XII_Bedaquilin_D-672_TrG_EN.pdf,Infektionskrankheiten
Bedaquilin (Überschreitung 1 Mio. € Umsatzgrenze: multiresistente pulmonale Tuberkulose),https://www.g-ba.de/downloads/40-268-7355/2021-03-04_AM-RL-XII_Bedaquilin_D-433_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5852/2019-07-04_AM-RL-XII_Bedaquilin_D-433_TrG_EN.pdf,Infektionskrankheiten
"Belantamab-Mafodotin (Multiples Myelom, mind. 4 Vortherapien, Monotherapie)",https://www.g-ba.de/downloads/40-268-7356/2021-03-04_AM-RL-XII_Belantamab-Mafodotin_D-582_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7356/2021-03-04_AM-RL-XII_Belantamab-Mafodotin_D-582_TrG_EN.pdf,onkologische Erkrankungen
Belatacept,https://www.g-ba.de/downloads/40-268-1978/2012-07-05_AM-RL-XII_Belatacept_TrG.pdf,,Krankheiten des Urogenitalsystems
Belatacept (Neubewertung nach Fristablauf: Prophylaxe einer Transplantatabstoßung nach Nierentransplantation),https://www.g-ba.de/downloads/40-268-3725/2016-04-21_AM-RL-XII_Belatacept_D-173_Therapiekosten_TrG.pdf,,Krankheiten des Urogenitalsystems
Belimumab (Neues Anwendungsgebiet: Lupusnephritis),https://www.g-ba.de/downloads/40-268-7654/2021-07-01_AM-RL-XII_Belimumab_D-682_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7654/2021-07-01_AM-RL-XII_Belimumab_D-682_TrG_EN.pdf,Krankheiten des Muskel-Skelett-Systems
Belimumab (Systemischer Lupus erythematodes),https://www.g-ba.de/downloads/40-268-2011/2012-08-02_AM-RL-XII_Belimumab_TrG.pdf,,Krankheiten des Muskel-Skelett-Systems
"Belimumab (Systemischer Lupus erythematodes, 5 bis < 18 Jahre)",https://www.g-ba.de/downloads/40-268-6561/2020-05-14_AM-RL-XII_Belimumab_D-499_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6561/2020-05-14_AM-RL-XII_Belimumab_D-499_TrG_EN.pdf,Krankheiten des Muskel-Skelett-Systems
Bempedoinsäure (Primäre Hypercholesterinämie oder gemischte Dyslipidämie),https://www.g-ba.de/downloads/40-268-7449/2021-04-15_AM-RL-XII_Bempedoins%C3%A4ure_D-601_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7449/2021-04-15_AM-RL-XII_Bempedoic-acid_D-601_TrG_EN.pdf,Stoffwechselkrankheiten
Bempedoinsäure/Ezetimib (Primäre Hypercholesterinämie oder gemischte Dyslipidämie),https://www.g-ba.de/downloads/40-268-7450/2021-04-15_AM-RL-XII_Bempedoins%C3%A4ure-Ezetimib_D-602_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7450/2021-04-15_AM-RL-XII_Bempedoic-acid-Ezetimibe_D-602_TrG_EN.pdf,Stoffwechselkrankheiten
Benralizumab (Asthma bronchiale),https://www.g-ba.de/downloads/40-268-5169/2018-08-02_AM-RL-XII_Benralizumab_D-341_TrG.pdf,,Krankheiten des Atmungssystems
"Berotralstat (hereditäres Angioödem, Prophylaxe, ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-8076/2021-12-02_AM-RL-XII_Berotralstat_D-695_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8076/2021-12-02_AM-RL-XII_Berotralstat_D-695_TrG_EN.pdf,Sonstiges
